species,val,n
Egretta thula,4.62,6
Tachycineta bicolor,0.233,21
Haliaeetus leucocephalus,36.2,50
Pandion haliaetus,8.5,44
Falco peregrinus,27.1,37
Haliaeetus albicilla,46.8,88
Accipiter nisus,28.6,54
Sterna hirundo,55.9,16
